t,dt,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,e_q_0,e_q_1,e_q_2,e_q_3,e_q_4,e_q_5,x_des_x,x_des_y,x_des_z,x_meas_x,x_meas_y,x_meas_z,q_des_w,q_des_x,q_des_y,q_des_z,q_meas_w,q_meas_x,q_meas_y,q_meas_z,euler_des_r,euler_des_p,euler_des_y,euler_meas_r,euler_meas_p,euler_meas_y,e_R_angle,pos_err_x,pos_err_y,pos_err_z,ori_err_axis_x,ori_err_axis_y,ori_err_axis_z,ori_err_angle,u_control_0,u_control_1,u_control_2,u_control_3,u_control_4,u_control_5,ik_ms,loop_ms
2.264231,2.264231,-1.570021,-1.907717,1.569990,-1.776985,-1.569992,0.000005,-1.569887,-1.892645,1.560548,-1.777134,-1.569989,0.000011,0.000134,0.015073,-0.009442,-0.000149,0.000003,0.000006,0.134560,-0.738863,0.143979,0.134457,-0.735101,0.146717,0.000512,-0.000540,0.963979,-0.265977,0.000492,-0.000479,0.963247,-0.268618,2.603159,0.001274,3.140823,2.597677,0.001206,3.140934,0.005483,0.000103,-0.003762,-0.002738,0.999719,-0.000259,0.023690,0.005483,-1.569887,-1.892645,1.560548,-1.777134,-1.569989,0.000011,9.609000,10.064000
2.269533,0.005303,-1.570021,-1.907717,1.569990,-1.776985,-1.569992,0.000005,-1.569886,-1.892700,1.560582,-1.777113,-1.569989,0.000011,0.000134,0.015017,-0.009408,-0.000128,0.000003,0.000006,0.134560,-0.738838,0.143979,0.134457,-0.735101,0.146717,0.000512,-0.000540,0.963979,-0.265977,0.000492,-0.000479,0.963247,-0.268618,2.603159,0.001274,3.140823,2.597677,0.001206,3.140934,0.005483,0.000103,-0.003737,-0.002738,0.999719,-0.000259,0.023690,0.005483,-1.569886,-1.892700,1.560582,-1.777113,-1.569989,0.000011,4.479000,5.102000
2.277338,0.007805,-1.569991,-1.907694,1.570030,-1.777006,-1.570005,0.000026,-1.569886,-1.892755,1.560616,-1.777092,-1.569989,0.000012,0.000105,0.014939,-0.009414,-0.000086,0.000016,-0.000015,0.134560,-0.738813,0.143979,0.134468,-0.735091,0.146674,0.000512,-0.000540,0.963979,-0.265977,0.000493,-0.000481,0.963252,-0.268597,2.603159,0.001274,3.140823,2.597720,0.001208,3.140930,0.005440,0.000093,-0.003722,-0.002695,0.999732,-0.000340,0.023153,0.005440,-1.569886,-1.892755,1.560616,-1.777092,-1.569989,0.000012,3.807000,4.242000
2.282479,0.005141,-1.570003,-1.907726,1.570026,-1.777010,-1.569968,-0.000016,-1.569885,-1.892810,1.560650,-1.777071,-1.569990,0.000013,0.000118,0.014916,-0.009376,-0.000061,-0.000022,0.000028,0.134561,-0.738788,0.143979,0.134488,-0.735097,0.146704,0.000512,-0.000540,0.963979,-0.265977,0.000504,-0.000501,0.963247,-0.268617,2.603159,0.001274,3.140823,2.597679,0.001239,3.140899,0.005480,0.000072,-0.003691,-0.002725,0.999885,0.001623,0.015074,0.005480,-1.569885,-1.892810,1.560650,-1.777071,-1.569990,0.000013,4.094000,4.547000
2.287382,0.004903,-1.570030,-1.907715,1.570018,-1.777015,-1.569972,-0.000007,-1.569883,-1.892865,1.560683,-1.777049,-1.569991,0.000014,0.000146,0.014850,-0.009335,-0.000034,-0.000019,0.000021,0.134561,-0.738763,0.143979,0.134465,-0.735107,0.146705,0.000512,-0.000540,0.963979,-0.265977,0.000499,-0.000483,0.963247,-0.268618,2.603159,0.001274,3.140823,2.597678,0.001221,3.140930,0.005482,0.000096,-0.003656,-0.002726,0.999763,0.001716,0.021718,0.005482,-1.569883,-1.892865,1.560683,-1.777049,-1.569991,0.000014,3.951000,4.384000
2.292148,0.004766,-1.570046,-1.907823,1.570001,-1.776969,-1.569968,0.000014,-1.569881,-1.892920,1.560718,-1.777029,-1.569992,0.000016,0.000165,0.014902,-0.009283,-0.000060,-0.000024,0.000002,0.134562,-0.738738,0.143980,0.134456,-0.735092,0.146776,0.000512,-0.000540,0.963979,-0.265977,0.000502,-0.000466,0.963236,-0.268655,2.603159,0.001274,3.140823,2.597600,0.001217,3.140964,0.005561,0.000106,-0.003646,-0.002796,0.999625,0.004331,0.027046,0.005561,-1.569881,-1.892920,1.560718,-1.777029,-1.569992,0.000016,3.793000,4.216000
2.297423,0.005276,-1.569991,-1.907757,1.570030,-1.776990,-1.569979,-0.000018,-1.569880,-1.892974,1.560750,-1.777007,-1.569993,0.000017,0.000112,0.014783,-0.009280,-0.000017,-0.000013,0.000036,0.134562,-0.738713,0.143980,0.134489,-0.735083,0.146713,0.000512,-0.000540,0.963979,-0.265977,0.000499,-0.000506,0.963246,-0.268620,2.603159,0.001274,3.140823,2.597673,0.001233,3.140885,0.005486,0.000074,-0.003630,-0.002733,0.999908,-0.000503,0.013558,0.005486,-1.569880,-1.892974,1.560750,-1.777007,-1.569993,0.000017,4.281000,4.771000
2.301153,0.003730,-1.570008,-1.907406,1.569916,-1.776994,-1.569978,0.000018,-1.569877,-1.893026,1.560778,-1.776982,-1.569994,0.000020,0.000131,0.014379,-0.009138,0.000012,-0.000016,0.000001,0.134563,-0.738688,0.143980,0.134476,-0.735130,0.146557,0.000512,-0.000540,0.963979,-0.265977,0.000502,-0.000481,0.963277,-0.268508,2.603159,0.001274,3.140823,2.597906,0.001226,3.140936,0.005254,0.000087,-0.003558,-0.002577,0.999727,0.003282,0.023124,0.005254,-1.569877,-1.893026,1.560778,-1.776982,-1.569994,0.000020,2.815000,3.140000
2.302920,0.001767,-1.570021,-1.906547,1.569384,-1.776626,-1.570037,0.000010,-1.569874,-1.893077,1.560799,-1.776954,-1.569996,0.000023,0.000147,0.013471,-0.008585,-0.000327,0.000041,0.000013,0.134564,-0.738663,0.143980,0.134424,-0.735139,0.146205,0.000512,-0.000540,0.963979,-0.265977,0.000471,-0.000471,0.963370,-0.268173,2.603159,0.001274,3.140823,2.598600,0.001160,3.140938,0.004561,0.000140,-0.003525,-0.002225,0.999373,-0.008390,0.034394,0.004561,-1.569874,-1.893077,1.560799,-1.776954,-1.569996,0.000023,1.383000,1.558000
2.304648,0.001728,-1.569977,-1.905985,1.569047,-1.776569,-1.570053,0.000002,-1.569871,-1.893129,1.560824,-1.776926,-1.569997,0.000025,0.000106,0.012857,-0.008223,-0.000357,0.000056,0.000023,0.134565,-0.738638,0.143981,0.134444,-0.735233,0.146058,0.000512,-0.000540,0.963979,-0.265977,0.000468,-0.000493,0.963408,-0.268037,2.603159,0.001274,3.140823,2.598882,0.001166,3.140893,0.004278,0.000121,-0.003406,-0.002077,0.999548,-0.013243,0.027006,0.004278,-1.569871,-1.893129,1.560824,-1.776926,-1.569997,0.000025,1.310000,1.526000
2.306351,0.001704,-1.570041,-1.905397,1.568541,-1.776681,-1.569983,-0.000011,-1.569866,-1.893182,1.560847,-1.776897,-1.570000,0.000029,0.000175,0.012215,-0.007694,-0.000215,-0.000017,0.000040,0.134566,-0.738613,0.143981,0.134450,-0.735504,0.146125,0.000512,-0.000540,0.963979,-0.265977,0.000492,-0.000478,0.963404,-0.268052,2.603159,0.001274,3.140823,2.598853,0.001204,3.140935,0.004308,0.000117,-0.003109,-0.002143,0.999531,-0.000706,0.030599,0.004308,-1.569866,-1.893182,1.560847,-1.776897,-1.570000,0.000029,1.327000,1.504000
2.308004,0.001653,-1.570025,-1.904728,1.568053,-1.776923,-1.570013,0.000047,-1.569863,-1.893235,1.560870,-1.776866,-1.570001,0.000032,0.000162,0.011493,-0.007183,0.000057,0.000012,-0.000015,0.134568,-0.738589,0.143982,0.134437,-0.735828,0.146182,0.000512,-0.000540,0.963979,-0.265977,0.000487,-0.000454,0.963396,-0.268081,2.603159,0.001274,3.140823,2.598791,0.001182,3.140979,0.004371,0.000131,-0.002760,-0.002200,0.999141,0.000311,0.041445,0.004371,-1.569863,-1.893235,1.560870,-1.776866,-1.570001,0.000032,1.278000,1.452000
2.309628,0.001624,-1.569943,-1.903933,1.567442,-1.777340,-1.570021,-0.000007,-1.569859,-1.893289,1.560890,-1.776833,-1.570003,0.000035,0.000084,0.010645,-0.006551,0.000507,0.000017,0.000042,0.134569,-0.738564,0.143982,0.134495,-0.736288,0.146342,0.000512,-0.000540,0.963979,-0.265977,0.000487,-0.000518,0.963365,-0.268194,2.603159,0.001274,3.140823,2.598558,0.001217,3.140855,0.004601,0.000074,-0.002276,-0.002360,0.999898,-0.007045,0.012404,0.004601,-1.569859,-1.893289,1.560890,-1.776833,-1.570003,0.000035,1.250000,1.436000
2.311621,0.001993,-1.569889,-1.901133,1.565445,-1.778157,-1.569930,-0.000023,-1.569855,-1.893339,1.560891,-1.776783,-1.570005,0.000039,0.000034,0.007794,-0.004554,0.001374,-0.000075,0.000062,0.134571,-0.738539,0.143983,0.134602,-0.737517,0.146439,0.000512,-0.000540,0.963979,-0.265977,0.000536,-0.000564,0.963363,-0.268200,2.603159,0.001274,3.140823,2.598545,0.001335,3.140793,0.004614,-0.000032,-0.001022,-0.002456,0.999891,0.007888,-0.012464,0.004614,-1.569855,-1.893339,1.560891,-1.776783,-1.570005,0.000039,1.284000,1.489000
2.313818,0.002197,-1.569869,-1.899300,1.564491,-1.777611,-1.569816,-0.000023,-1.569850,-1.893386,1.560912,-1.776758,-1.570008,0.000043,0.000020,0.005914,-0.003578,0.000854,-0.000192,0.000066,0.134572,-0.738514,0.143984,0.134700,-0.737585,0.145647,0.000512,-0.000540,0.963979,-0.265977,0.000593,-0.000589,0.963554,-0.267514,2.603159,0.001274,3.140823,2.599969,0.001458,3.140775,0.003196,-0.000128,-0.000930,-0.001664,0.998224,0.041723,-0.042521,0.003196,-1.569850,-1.893386,1.560912,-1.776758,-1.570008,0.000043,1.501000,1.705000
2.316148,0.002330,-1.569865,-1.898178,1.564107,-1.776845,-1.570000,-0.000044,-1.569844,-1.893435,1.560940,-1.776736,-1.570011,0.000048,0.000021,0.004743,-0.003167,0.000109,-0.000011,0.000092,0.134574,-0.738489,0.143984,0.134570,-0.737305,0.144768,0.000512,-0.000540,0.963979,-0.265977,0.000502,-0.000576,0.963755,-0.266788,2.603159,0.001274,3.140823,2.601475,0.001276,3.140750,0.001686,0.000004,-0.001184,-0.000784,0.999052,-0.021509,-0.037848,0.001686,-1.569844,-1.893435,1.560940,-1.776736,-1.570011,0.000048,1.712000,1.977000
2.317897,0.001749,-1.569878,-1.897624,1.563845,-1.776610,-1.570099,0.000002,-1.569838,-1.893487,1.560969,-1.776713,-1.570014,0.000053,0.000040,0.004138,-0.002877,-0.000104,0.000085,0.000051,0.134576,-0.738465,0.143985,0.134486,-0.737278,0.144470,0.000512,-0.000540,0.963979,-0.265977,0.000459,-0.000534,0.963825,-0.266535,2.603159,0.001274,3.140823,2.602001,0.001169,3.140807,0.001162,0.000090,-0.001187,-0.000485,0.995829,-0.084502,0.034408,0.001162,-1.569838,-1.893487,1.560969,-1.776713,-1.570014,0.000053,1.294000,1.476000
2.319514,0.001617,-1.569878,-1.897624,1.563845,-1.776610,-1.570099,0.000002,-1.569832,-1.893539,1.561000,-1.776692,-1.570017,0.000059,0.000047,0.004085,-0.002846,-0.000082,0.000082,0.000057,0.134578,-0.738440,0.143986,0.134486,-0.737278,0.144470,0.000512,-0.000540,0.963979,-0.265977,0.000459,-0.000534,0.963825,-0.266535,2.603159,0.001274,3.140823,2.602001,0.001169,3.140807,0.001162,0.000092,-0.001162,-0.000484,0.995829,-0.084502,0.034408,0.001162,-1.569832,-1.893539,1.561000,-1.776692,-1.570017,0.000059,1.255000,1.420000
2.321651,0.002137,-1.569895,-1.895463,1.562829,-1.776531,-1.570014,-0.000011,-1.569825,-1.893590,1.561023,-1.776664,-1.570020,0.000065,0.000070,0.001873,-0.001806,-0.000133,-0.000006,0.000076,0.134580,-0.738415,0.143987,0.134536,-0.737625,0.143724,0.000512,-0.000540,0.963979,-0.265977,0.000495,-0.000544,0.963988,-0.265945,2.603159,0.001274,3.140823,2.603226,0.001244,3.140807,0.000075,0.000044,-0.000790,0.000263,-0.892628,-0.450315,0.020764,0.000075,-1.569825,-1.893590,1.561023,-1.776664,-1.570020,0.000065,1.335000,1.506000
2.323667,0.002016,-1.569897,-1.895017,1.562500,-1.776591,-1.569983,-0.000007,-1.569818,-1.893642,1.561053,-1.776642,-1.570024,0.000071,0.000080,0.001375,-0.001447,-0.000051,-0.000041,0.000077,0.134583,-0.738391,0.143988,0.134557,-0.737789,0.143713,0.000512,-0.000540,0.963979,-0.265977,0.000511,-0.000545,0.963995,-0.265918,2.603159,0.001274,3.140823,2.603282,0.001274,3.140814,0.000123,0.000025,-0.000602,0.000275,-0.997491,-0.034386,-0.061880,0.000123,-1.569818,-1.893642,1.561053,-1.776642,-1.570024,0.000071,1.339000,1.521000
2.325640,0.001973,-1.569850,-1.894168,1.561904,-1.776881,-1.569884,0.000010,-1.569810,-1.893694,1.561083,-1.776620,-1.570028,0.000077,0.000040,0.000474,-0.000821,0.000261,-0.000144,0.000068,0.134585,-0.738366,0.143989,0.134663,-0.738177,0.143753,0.000512,-0.000540,0.963979,-0.265977,0.000567,-0.000573,0.963991,-0.265935,2.603159,0.001274,3.140823,2.603245,0.001397,3.140790,0.000154,-0.000079,-0.000189,0.000236,-0.560589,0.575821,-0.595122,0.000154,-1.569810,-1.893694,1.561083,-1.776620,-1.570028,0.000077,1.309000,1.495000
2.327655,0.002015,-1.569850,-1.894168,1.561904,-1.776881,-1.569884,0.000010,-1.569802,-1.893746,1.561113,-1.776598,-1.570032,0.000084,0.000048,0.000422,-0.000791,0.000283,-0.000148,0.000075,0.134588,-0.738341,0.143990,0.134663,-0.738177,0.143753,0.000512,-0.000540,0.963979,-0.265977,0.000567,-0.000573,0.963991,-0.265935,2.603159,0.001274,3.140823,2.603245,0.001397,3.140790,0.000154,-0.000076,-0.000164,0.000237,-0.560589,0.575821,-0.595122,0.000154,-1.569802,-1.893746,1.561113,-1.776598,-1.570032,0.000084,1.321000,1.509000
2.329846,0.002192,-1.569841,-1.893872,1.561670,-1.777022,-1.569847,-0.000014,-1.569794,-1.893797,1.561142,-1.776576,-1.570036,0.000091,0.000047,0.000075,-0.000528,0.000446,-0.000189,0.000105,0.134590,-0.738317,0.143991,0.134698,-0.738347,0.143809,0.000512,-0.000540,0.963979,-0.265977,0.000583,-0.000593,0.963980,-0.265973,2.603159,0.001274,3.140823,2.603166,0.001439,3.140759,0.000177,-0.000108,0.000030,0.000182,-0.040860,0.611345,-0.790309,0.000177,-1.569794,-1.893797,1.561142,-1.776576,-1.570036,0.000091,1.508000,1.701000
2.332223,0.002377,-1.569841,-1.893872,1.561670,-1.777022,-1.569847,-0.000014,-1.569785,-1.893848,1.561172,-1.776555,-1.570041,0.000099,0.000056,0.000023,-0.000498,0.000467,-0.000193,0.000113,0.134593,-0.738292,0.143992,0.134698,-0.738347,0.143809,0.000512,-0.000540,0.963979,-0.265977,0.000583,-0.000593,0.963980,-0.265973,2.603159,0.001274,3.140823,2.603166,0.001439,3.140759,0.000177,-0.000105,0.000055,0.000183,-0.040860,0.611345,-0.790309,0.000177,-1.569785,-1.893848,1.561172,-1.776555,-1.570041,0.000099,1.832000,2.081000
2.334131,0.001907,-1.569841,-1.893872,1.561670,-1.777022,-1.569847,-0.000014,-1.569776,-1.893899,1.561201,-1.776533,-1.570046,0.000107,0.000065,-0.000028,-0.000469,0.000489,-0.000198,0.000121,0.134596,-0.738267,0.143993,0.134698,-0.738347,0.143809,0.000512,-0.000540,0.963979,-0.265977,0.000583,-0.000593,0.963980,-0.265973,2.603159,0.001274,3.140823,2.603166,0.001439,3.140759,0.000177,-0.000102,0.000079,0.000184,-0.040860,0.611345,-0.790309,0.000177,-1.569776,-1.893899,1.561201,-1.776533,-1.570046,0.000107,1.557000,1.761000
2.335753,0.001622,-1.569887,-1.893479,1.561279,-1.777075,-1.569995,-0.000018,-1.569767,-1.893950,1.561231,-1.776511,-1.570050,0.000115,0.000121,-0.000472,-0.000048,0.000564,-0.000055,0.000133,0.134599,-0.738243,0.143994,0.134557,-0.738540,0.143887,0.000512,-0.000540,0.963979,-0.265977,0.000505,-0.000553,0.963973,-0.265998,2.603159,0.001274,3.140823,2.603115,0.001267,3.140794,0.000053,0.000042,0.000297,0.000107,0.826022,-0.392171,-0.404833,0.000053,-1.569767,-1.893950,1.561231,-1.776511,-1.570050,0.000115,1.235000,1.415000
2.337587,0.001835,-1.569874,-1.893219,1.561034,-1.776876,-1.570082,0.000047,-1.569757,-1.894001,1.561260,-1.776490,-1.570055,0.000123,0.000117,-0.000782,0.000226,0.000386,0.000027,0.000076,0.134602,-0.738218,0.143996,0.134500,-0.738527,0.143809,0.000512,-0.000540,0.963979,-0.265977,0.000473,-0.000517,0.964002,-0.265895,2.603159,0.001274,3.140823,2.603329,0.001187,3.140848,0.000193,0.000102,0.000309,0.000187,-0.883796,-0.321545,0.339871,0.000193,-1.569757,-1.894001,1.561260,-1.776490,-1.570055,0.000123,1.261000,1.443000
2.339669,0.002082,-1.569869,-1.893144,1.560887,-1.776835,-1.570088,-0.000007,-1.569746,-1.894051,1.561288,-1.776468,-1.570061,0.000132,0.000123,-0.000908,0.000402,0.000367,0.000027,0.000138,0.134605,-0.738194,0.143997,0.134502,-0.738565,0.143862,0.000512,-0.000540,0.963979,-0.265977,0.000464,-0.000544,0.963998,-0.265910,2.603159,0.001274,3.140823,2.603298,0.001184,3.140790,0.000169,0.000103,0.000371,0.000135,-0.822103,-0.559221,0.106859,0.000169,-1.569746,-1.894051,1.561288,-1.776468,-1.570061,0.000132,1.325000,1.525000
2.341671,0.002001,-1.569869,-1.893144,1.560887,-1.776835,-1.570088,-0.000007,-1.569736,-1.894102,1.561317,-1.776446,-1.570066,0.000141,0.000134,-0.000958,0.000430,0.000389,0.000022,0.000147,0.134609,-0.738169,0.143998,0.134502,-0.738565,0.143862,0.000512,-0.000540,0.963979,-0.265977,0.000464,-0.000544,0.963998,-0.265910,2.603159,0.001274,3.140823,2.603298,0.001184,3.140790,0.000169,0.000107,0.000395,0.000137,-0.822103,-0.559221,0.106859,0.000169,-1.569736,-1.894102,1.561317,-1.776446,-1.570066,0.000141,1.344000,1.525000
2.343626,0.001955,-1.569855,-1.893050,1.560594,-1.776910,-1.570138,0.000043,-1.569725,-1.894152,1.561345,-1.776424,-1.570072,0.000150,0.000130,-0.001102,0.000751,0.000486,0.000066,0.000108,0.134612,-0.738145,0.144000,0.134474,-0.738726,0.144086,0.000512,-0.000540,0.963979,-0.265977,0.000448,-0.000521,0.963961,-0.266042,2.603159,0.001274,3.140823,2.603024,0.001142,3.140827,0.000189,0.000138,0.000581,-0.000086,0.713641,-0.591185,0.375790,0.000189,-1.569725,-1.894152,1.561345,-1.776424,-1.570072,0.000150,1.283000,1.480000
2.345759,0.002132,-1.569779,-1.892871,1.560358,-1.776986,-1.570022,0.000076,-1.569713,-1.894201,1.561373,-1.776402,-1.570078,0.000160,0.000066,-0.001331,0.001015,0.000584,-0.000056,0.000084,0.134616,-0.738120,0.144001,0.134613,-0.738854,0.144198,0.000512,-0.000540,0.963979,-0.265977,0.000519,-0.000557,0.963943,-0.266106,2.603159,0.001274,3.140823,2.602891,0.001296,3.140795,0.000270,0.000003,0.000733,-0.000197,0.991355,0.017761,-0.129999,0.000270,-1.569713,-1.894201,1.561373,-1.776402,-1.570078,0.000160,1.413000,1.615000
2.348153,0.002394,-1.569779,-1.892871,1.560358,-1.776986,-1.570022,0.000076,-1.569701,-1.894251,1.561400,-1.776380,-1.570084,0.000170,0.000078,-0.001381,0.001042,0.000606,-0.000062,0.000095,0.134620,-0.738096,0.144003,0.134613,-0.738854,0.144198,0.000512,-0.000540,0.963979,-0.265977,0.000519,-0.000557,0.963943,-0.266106,2.603159,0.001274,3.140823,2.602891,0.001296,3.140795,0.000270,0.000007,0.000757,-0.000195,0.991355,0.017761,-0.129999,0.000270,-1.569701,-1.894251,1.561400,-1.776380,-1.570084,0.000170,1.770000,2.002000
2.349782,0.001630,-1.569779,-1.892871,1.560358,-1.776986,-1.570022,0.000076,-1.569689,-1.894301,1.561428,-1.776358,-1.570090,0.000181,0.000090,-0.001430,0.001070,0.000628,-0.000068,0.000105,0.134624,-0.738072,0.144004,0.134613,-0.738854,0.144198,0.000512,-0.000540,0.963979,-0.265977,0.000519,-0.000557,0.963943,-0.266106,2.603159,0.001274,3.140823,2.602891,0.001296,3.140795,0.000270,0.000011,0.000782,-0.000194,0.991355,0.017761,-0.129999,0.000270,-1.569689,-1.894301,1.561428,-1.776358,-1.570090,0.000181,1.301000,1.508000
2.351517,0.001734,-1.569773,-1.892712,1.560197,-1.777130,-1.569936,0.000064,-1.569677,-1.894350,1.561455,-1.776336,-1.570096,0.000192,0.000097,-0.001638,0.001258,0.000794,-0.000160,0.000128,0.134628,-0.738047,0.144006,0.134680,-0.738997,0.144294,0.000512,-0.000540,0.963979,-0.265977,0.000559,-0.000577,0.963924,-0.266176,2.603159,0.001274,3.140823,2.602745,0.001385,3.140778,0.000431,-0.000053,0.000949,-0.000288,0.960682,0.167764,-0.221236,0.000431,-1.569677,-1.894350,1.561455,-1.776336,-1.570096,0.000192,1.265000,1.429000
2.353548,0.002032,-1.569747,-1.892661,1.560083,-1.777120,-1.569896,-0.000011,-1.569664,-1.894399,1.561482,-1.776314,-1.570103,0.000203,0.000083,-0.001738,0.001398,0.000806,-0.000207,0.000214,0.134632,-0.738023,0.144007,0.134733,-0.739034,0.144350,0.000512,-0.000540,0.963979,-0.265977,0.000572,-0.000631,0.963917,-0.266202,2.603159,0.001274,3.140823,2.602693,0.001439,3.140681,0.000515,-0.000101,0.001011,-0.000342,0.905944,0.132835,-0.402019,0.000515,-1.569664,-1.894399,1.561482,-1.776314,-1.570103,0.000203,1.242000,1.404000
2.355580,0.002032,-1.569778,-1.892603,1.560072,-1.777072,-1.569859,0.000008,-1.569651,-1.894448,1.561508,-1.776292,-1.570110,0.000214,0.000127,-0.001845,0.001436,0.000780,-0.000251,0.000206,0.134636,-0.737999,0.144009,0.134736,-0.739016,0.144292,0.000512,-0.000540,0.963979,-0.265977,0.000588,-0.000612,0.963930,-0.266156,2.603159,0.001274,3.140823,2.602788,0.001460,3.140727,0.000426,-0.000100,0.001017,-0.000283,0.871292,0.257580,-0.417736,0.000426,-1.569651,-1.894448,1.561508,-1.776292,-1.570110,0.000214,1.258000,1.435000
2.357555,0.001975,-1.569778,-1.892603,1.560072,-1.777072,-1.569859,0.000008,-1.569637,-1.894496,1.561535,-1.776270,-1.570117,0.000226,0.000141,-0.001894,0.001462,0.000803,-0.000258,0.000218,0.134640,-0.737974,0.144011,0.134736,-0.739016,0.144292,0.000512,-0.000540,0.963979,-0.265977,0.000588,-0.000612,0.963930,-0.266156,2.603159,0.001274,3.140823,2.602788,0.001460,3.140727,0.000426,-0.000096,0.001041,-0.000282,0.871292,0.257580,-0.417736,0.000426,-1.569637,-1.894496,1.561535,-1.776270,-1.570117,0.000226,1.248000,1.411000
2.359591,0.002036,-1.569757,-1.892562,1.560072,-1.776955,-1.569974,0.000014,-1.569623,-1.894544,1.561561,-1.776247,-1.570124,0.000238,0.000134,-0.001983,0.001488,0.000708,-0.000150,0.000224,0.134645,-0.737950,0.144013,0.134667,-0.738948,0.144203,0.000512,-0.000540,0.963979,-0.265977,0.000537,-0.000603,0.963951,-0.266080,2.603159,0.001274,3.140823,2.602945,0.001356,3.140715,0.000253,-0.000023,0.000998,-0.000191,0.844242,0.056850,-0.532939,0.000253,-1.569623,-1.894544,1.561561,-1.776247,-1.570124,0.000238,1.259000,1.443000
2.361692,0.002101,-1.569830,-1.892647,1.560183,-1.776756,-1.570049,0.000013,-1.569609,-1.894593,1.561586,-1.776225,-1.570131,0.000250,0.000221,-0.001945,0.001403,0.000532,-0.000083,0.000237,0.134649,-0.737926,0.144015,0.134559,-0.738804,0.144070,0.000512,-0.000540,0.963979,-0.265977,0.000491,-0.000559,0.963980,-0.265972,2.603159,0.001274,3.140823,2.603169,0.001243,3.140776,0.000057,0.000091,0.000878,-0.000056,-0.173926,-0.886041,-0.429744,0.000057,-1.569609,-1.894593,1.561586,-1.776225,-1.570131,0.000250,1.311000,1.547000
2.364307,0.002615,-1.569830,-1.892647,1.560183,-1.776756,-1.570049,0.000013,-1.569594,-1.894641,1.561612,-1.776202,-1.570139,0.000263,0.000236,-0.001993,0.001429,0.000554,-0.000090,0.000250,0.134654,-0.737902,0.144016,0.134559,-0.738804,0.144070,0.000512,-0.000540,0.963979,-0.265977,0.000491,-0.000559,0.963980,-0.265972,2.603159,0.001274,3.140823,2.603169,0.001243,3.140776,0.000057,0.000095,0.000902,-0.000054,-0.173926,-0.886041,-0.429744,0.000057,-1.569594,-1.894641,1.561612,-1.776202,-1.570139,0.000263,1.790000,2.136000
2.365889,0.001582,-1.569830,-1.892647,1.560183,-1.776756,-1.570049,0.000013,-1.569579,-1.894688,1.561637,-1.776180,-1.570147,0.000276,0.000251,-0.002041,0.001454,0.000577,-0.000098,0.000263,0.134659,-0.737878,0.144018,0.134559,-0.738804,0.144070,0.000512,-0.000540,0.963979,-0.265977,0.000491,-0.000559,0.963980,-0.265972,2.603159,0.001274,3.140823,2.603169,0.001243,3.140776,0.000057,0.000100,0.000926,-0.000052,-0.173926,-0.886041,-0.429744,0.000057,-1.569579,-1.894688,1.561637,-1.776180,-1.570147,0.000276,1.309000,1.488000
2.367590,0.001701,-1.569846,-1.892630,1.560251,-1.776730,-1.570125,0.000070,-1.569563,-1.894736,1.561662,-1.776157,-1.570154,0.000289,0.000282,-0.002106,0.001411,0.000573,-0.000029,0.000219,0.134664,-0.737854,0.144020,0.134489,-0.738762,0.143984,0.000512,-0.000540,0.963979,-0.265977,0.000459,-0.000514,0.963995,-0.265918,2.603159,0.001274,3.140823,2.603281,0.001158,3.140846,0.000170,0.000175,0.000909,0.000036,-0.719272,-0.516518,0.464604,0.000170,-1.569563,-1.894736,1.561662,-1.776157,-1.570154,0.000289,1.300000,1.498000
2.369782,0.002192,-1.569881,-1.892775,1.560398,-1.776708,-1.570141,0.000015,-1.569548,-1.894783,1.561686,-1.776134,-1.570163,0.000303,0.000334,-0.002009,0.001288,0.000574,-0.000022,0.000287,0.134669,-0.737829,0.144022,0.134454,-0.738695,0.143952,0.000512,-0.000540,0.963979,-0.265977,0.000440,-0.000521,0.963999,-0.265906,2.603159,0.001274,3.140823,2.603306,0.001125,3.140822,0.000209,0.000215,0.000866,0.000071,-0.701071,-0.613943,0.362731,0.000209,-1.569548,-1.894783,1.561686,-1.776134,-1.570163,0.000303,1.425000,1.615000
2.371659,0.001877,-1.569842,-1.892817,1.560547,-1.776557,-1.570076,0.000074,-1.569531,-1.894830,1.561711,-1.776111,-1.570171,0.000317,0.000311,-0.002014,0.001164,0.000445,-0.000095,0.000243,0.134674,-0.737805,0.144025,0.134526,-0.738545,0.143777,0.000512,-0.000540,0.963979,-0.265977,0.000484,-0.000520,0.964033,-0.265782,2.603159,0.001274,3.140823,2.603563,0.001209,3.140847,0.000410,0.000148,0.000740,0.000247,-0.985575,-0.105843,0.132056,0.000410,-1.569531,-1.894830,1.561711,-1.776111,-1.570171,0.000317,1.298000,1.513000
